id,influencer_id,url,post,follower,like,comment,react_rate,desire_to_mimic,sWOM,purchase_intention
767,jiyoung3571,https://instagram.com/jiyoung3571,33,1677,4435,221,0.036056966,,,
768,m.__light,https://instagram.com/m.__light,11,1520,2062,209,0.058210868,,,
769,h_ong.3,https://instagram.com/h_ong.3,13,1486,3444,332,0.083770872,,,
770,chaewon_jysh,https://instagram.com/chaewon_jysh,15,1356,96,32,0.002697008,,,
771,yevely_jini,https://instagram.com/yevely_jini,4,1406,559,13,0.043588701,,,
772,sunha8481,https://instagram.com/sunha8481,24,1222,113,1,0.001665887,,,
773,nohsoup_,https://instagram.com/nohsoup_,19,1530,989,79,0.015745245,,,
774,18.09.10_w_u,https://instagram.com/18.09.10_w_u,12,2597,1025,95,0.015402387,,,
775,scope42,https://instagram.com/scope42,4,1326,41,2,0.003474467,,,
776,jordan__jelly,https://instagram.com/jordan__jelly,2,1462,396,32,0.06273207,,,
777,daye_hong,https://instagram.com/daye_hong,13,1336,820,88,0.022405738,,,
778,o_velyz,https://instagram.com/o_velyz,1,1413,233,17,0.075826509,,,
779,9.29kg,https://instagram.com/9.29kg,3,2019,170,25,0.013797495,,,
780,___kjjung,https://instagram.com/___kjjung,8,13954,12291,97,0.047559328,,,
781,yenii_iiiya,https://instagram.com/yenii_iiiya,4,1516,1738,39,0.125588956,,,
782,2se0y0ung,https://instagram.com/2se0y0ung,19,1317,257,35,0.005001113,,,
783,eunjikong,https://instagram.com/eunjikong,46,1667,2046,194,0.012519235,,,
784,lovely_doop,https://instagram.com/lovely_doop,7,1617,646,92,0.027942903,,,
785,jin_04_h,https://instagram.com/jin_04_h,6,1493,1317,53,0.065543967,,,
786,belleju_,https://instagram.com/belleju_,6,1348,642,14,0.034760492,,,
787,dolphinonthewave,https://instagram.com/dolphinonthewave,2,1404,247,8,0.038919414,,,
788,walking_yang,https://instagram.com/walking_yang,101,51694,111685,2645,0.009384733,,,
789,bambola__joo,https://instagram.com/bambola__joo,1,1454,244,3,0.072804087,,,
790,u__o.o,https://instagram.com/u__o.o,10,3610,1433,34,0.017415908,,,
791,lovely_ujumom,https://instagram.com/lovely_ujumom,3,1807,180,0,0.014230374,,,
792,leeha._.land,https://instagram.com/leeha._.land,1,1310,104,28,0.043184297,,,
793,su._.ni_,https://instagram.com/su._.ni_,14,2384,5101,71,0.066412135,,,
794,prommjudy_,https://instagram.com/prommjudy_,3,1359,428,17,0.046778093,,,
795,_seungwoo0301,https://instagram.com/_seungwoo0301,3,1359,393,9,0.042257963,,,
796,2.7._.by,https://instagram.com/2.7._.by,9,1436,366,12,0.012534819,,,
797,m_seo_12,https://instagram.com/m_seo_12,1,138,49,1,0.155279503,,,
798,hoyongpk,https://instagram.com/hoyongpk,10,1677,1078,78,0.02954255,,,
799,sally_s_lee,https://instagram.com/sally_s_lee,26,1299,1011,56,0.013539578,,,
800,hoohoo_studio,https://instagram.com/hoohoo_studio,16,1420,743,81,0.01554326,,,
801,yunajung1206,https://instagram.com/yunajung1206,6,1390,255,9,0.01356629,,,
802,wowamywow,https://instagram.com/wowamywow,14,1528,702,12,0.014304413,,,
803,jagda85,https://instagram.com/jagda85,26,2544,3487,629,0.026669086,,,
804,gawonp,https://instagram.com/gawonp,1,1271,63,0,0.021243116,,,
805,ddomomom,https://instagram.com/ddomomom,13,1314,289,18,0.007702343,,,
806,good_foodwg,https://instagram.com/good_foodwg,3,4410,2913,363,0.106122449,,,
807,yunajung1206,https://instagram.com/yunajung1206,6,1390,255,9,0.01356629,,,
808,withyerin,https://instagram.com/withyerin,13,3918,5584,81,0.047666728,,,
809,tip_easy,https://instagram.com/tip_easy,9,1354,1173,310,0.05215587,,,
810,bonghee7979,https://instagram.com/bonghee7979,47,2737,6056,316,0.021228843,,,
811,hye_l_i_m,https://instagram.com/hye_l_i_m,17,1335,967,39,0.018997262,,,
812,jumping_kelly,https://instagram.com/jumping_kelly,36,1407,1994,67,0.017438319,,,
813,matbeol2,https://instagram.com/matbeol2,28,2102,7811,603,0.06126818,,,
814,founder_jin,https://instagram.com/founder_jin,7,1343,196,6,0.009208747,,,
815,bishop_blog,https://instagram.com/bishop_blog,24,1428,1305,45,0.016881753,,,
816,havely925,https://instagram.com/havely925,1,1347,68,3,0.022589882,,,
817,_brightravel,https://instagram.com/_brightravel,7,1646,1110,159,0.047201627,,,
818,je_ai_u,https://instagram.com/je_ai_u,41,1871,4083,192,0.023883705,,,
819,mi___jini,https://instagram.com/mi___jini,1,2306,446,16,0.085862966,,,
820,woovely_home,https://instagram.com/woovely_home,25,2748,5960,898,0.042782283,,,
821,_ddeliii__,https://instagram.com/_ddeliii__,1,1293,94,5,0.032814054,,,
